Trade #,ID,Portfolio,Symbol,Contract,Asset Type,Direction,Option Type,Strike,Expiry,DTE at Entry,Entry Time (CT),Entry Day,Entry Session,Entry Price,Qty,Entry Cost,Status,Exit Time (CT),Exit Day,Exit Session,Exit Price,Exit Reason,Realized P&L,Realized P&L %,Target,Stop Loss,Hold Time,Created At (CT),Trade Idea ID
18,44dca028-2003-418e-a822-203eff3e0b50,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 13:00:13 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 13:05:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 13:00:13 CST",a3758836-a782-4f30-8a4c-2d7b3437985c
17,2da3a03d-b5f8-4f6e-ab19-877ac008a36a,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 12:45:13 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 12:50:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 12:45:13 CST",073c4074-fe44-45b7-9ff6-1ee0436d7a9c
16,3c264630-2968-43b0-bb1a-ba7dd47c0b81,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 12:30:14 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 12:35:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 12:30:14 CST",512cb70e-bee1-4056-9528-ea5c4a8f1b20
15,102220d2-35fe-4c70-b37b-f5867610503e,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 10:30:13 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 10:35:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 10:30:13 CST",a98d2004-1cd4-48aa-bccd-9f71b86ed164
14,48d0c14d-d9bc-48a5-b3c5-acf6de3129ba,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 10:15:13 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 10:20:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 10:15:13 CST",bf41d709-f269-49a8-9c03-8d9e45c9a66d
13,82c19c04-9b0e-4bca-a07a-23846711b1c2,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 10:00:14 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 10:05:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 10:00:14 CST",7806352d-77db-48bd-a116-cdf882d56913
12,49e023d5-9a7b-4cba-b448-fe7c8f23a1d3,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 09:00:16 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 09:05:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 09:00:16 CST",835e5b93-6869-4c8b-980b-cf43ebded8ed
11,fa219c77-b08e-499d-9061-519ae1b553ef,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 08:45:14 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 08:50:03 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 08:45:14 CST",b7692d6c-9d87-4bc0-bcd0-0008b8e0f02f
10,35fa9da6-2c39-4227-821b-5b8b4632c322,options,META,META260102P00650000,option,short,put,650,2026-01-02,1,"2026-01-01 08:30:14 CST",THU,REGULAR,0.62,1,62,closed,"2026-01-01 08:35:00 CST",THU,REGULAR,0.62,"target_hit",0,0,12.4,0.31,5m,"2026-01-01 08:30:14 CST",e6afb7ca-4aff-4f6e-9cf0-43dc97065df8
9,a8940190-17ee-4aff-9ed8-da5b446326ff,futures,NQH25,NQH25,future,long,,,,,"2026-01-01 08:30:00 CST",THU,REGULAR,20999.5,1,20999.5,open,,,,,,,,21839.48,20579.51,OPEN,"2026-01-01 08:30:00 CST",
8,9964beec-b926-497e-870f-3f0b875c7630,other,META,META260102P00650000,option,short,put,650,2026-01-02,2,"2025-12-31 14:45:13 CST",WED,POWER-HOUR,0.605,1,60.5,closed,"2025-12-31 14:50:00 CST",WED,POWER-HOUR,0.65,"target_hit",-4.5,-7.4380164,12.1,0.3025,5m,"2025-12-31 14:45:13 CST",a1019821-b1d4-4532-8871-06375e23b962
7,c9f2385c-edce-4ad6-8b37-cba0f21d2a7d,other,META,META260102P00650000,option,short,put,650,2026-01-02,2,"2025-12-31 14:30:16 CST",WED,POWER-HOUR,0.58,1,58,closed,"2025-12-31 14:35:01 CST",WED,POWER-HOUR,0.63,"target_hit",-5,-8.620689,11.6,0.29,5m,"2025-12-31 14:30:16 CST",3806946e-403a-4b5f-b49c-3c46b3cf2258
6,502da293-d044-4cb5-a80d-0e6d388a7ddb,other,META,META260102P00650000,option,short,put,650,2026-01-02,2,"2025-12-31 14:15:15 CST",WED,POWER-HOUR,0.535,1,53.5,closed,"2025-12-31 14:20:01 CST",WED,POWER-HOUR,0.51,"target_hit",2.5,4.6728973,10.7,0.2675,5m,"2025-12-31 14:15:15 CST",b2e47e40-7db8-4237-bbcc-4d68285674d1
5,ad52eb67-f758-41b8-8984-b6f4f4f056b0,other,TSLA,TSLA260102C00497500,option,long,call,497.5,2026-01-02,3,"2025-12-30 14:00:30 CST",TUE,POWER-HOUR,0.205,2,41,closed,"2025-12-31 12:45:00 CST",WED,REGULAR,0.095,"stop_hit",-22,-53.658535,4.1,0.1025,22h 45m,"2025-12-30 14:00:30 CST",9b08894a-414e-49f0-96cf-59c0e782443a
4,5e63995a-0ef8-4834-8da4-600d0de324b9,other,QBTS,QBTS260102C00028500,option,long,call,28.5,2026-01-02,3,"2025-12-30 13:45:29 CST",TUE,REGULAR,0.215,2,43,closed,"2025-12-31 14:10:02 CST",WED,POWER-HOUR,0.1,"stop_hit",-23,-53.488373,4.3,0.1075,24h 25m,"2025-12-30 13:45:29 CST",eec63178-c2fa-46ef-9df9-e2ae3a80595d
3,59739120-6d25-40e6-b55d-3a7b0a7a26d2,other,NFLX,NFLX260102C00095500,option,long,call,95.5,2026-01-02,3,"2025-12-30 13:30:31 CST",TUE,REGULAR,0.2,2,40,closed,"2025-12-31 08:45:00 CST",WED,REGULAR,0.1,"stop_hit",-20,-50,4,0.1,19h 14m,"2025-12-30 13:30:31 CST",906eab91-028c-44fe-91c8-c4222ca57bf0
2,a0ca480f-29a6-4c58-a82c-0c31e8ab8a98,other,QBTS,QBTS260102C00029000,option,long,call,29,2026-01-02,3,"2025-12-30 13:00:30 CST",TUE,REGULAR,0.2,2,40,closed,"2025-12-30 14:45:00 CST",TUE,POWER-HOUR,0.1,"stop_hit",-20,-50,4,0.1,1h 45m,"2025-12-30 13:00:30 CST",af5d5e4e-51b5-4563-ad0c-f18b65ad2320
1,51144be8-0c45-47bc-aeb4-730e319f193a,other,TSLA,TSLA260102C00500000,option,long,call,500,2026-01-02,3,"2025-12-30 12:30:30 CST",TUE,REGULAR,0.205,2,41,closed,"2025-12-31 09:55:03 CST",WED,REGULAR,0.095,"stop_hit",-22,-53.658535,4.1,0.1025,21h 25m,"2025-12-30 12:30:31 CST",b2286f1f-f54a-45e3-bede-cb8693d2030d
